Compound,mz,rt,UM1850B_ANGDT_0.25_mL_36_1_4792,UM1850B_ANGDT_0.25_mL_36_1_4802,UM1850B_ANGDT_0.25_mL_36_1_4815,UM1852B_Coculture_42_1_4685,UM1852B_Coculture_42_1_4695,UM1852B_Coculture_42_1_4709,UM1852B_Coculture_42_1_4785,UM1850B_ANGDT_48_1_4782,UM1850B_ANGDT_48_1_4794,UM1850B_ANGDT_48_1_4823,UM1852B_Coculture_0.25mgml_19_1_4812,UM1852B_Coculture_0.25mgml_19_1_4819,UM1852B_Coculture_0.25mgml_19_2_4820
2454,577.160266,491,1821.32,2804.35,1826.37,0,0,0,0,2043.49,2324.52,2261.3,1963.67,1803.82,2209.73
6243,522.240026,167.81,375.34,451.08,483.71,0,0,0,0,1846.39,1566.09,1683.71,476.79,0,465.11
3668,496.252546,129.75,0,0,0,464.09,564.09,570.65,0,0,0,0,0,0,0
7926,433.245386,189.83,0,0,0,1622.26,1930.72,1133.5,0,0,0,0,0,0,0
11157,495.287266,355.82,0,0,0,14325.28,13609.82,14261.56,0,0,0,0,0,0,0
6352,440.252616,170.06,0,0,0,0,0,0,0,0,0,0,0,0,0
9640,641.327896,220.58,0,0,0,0,0,0,0,0,0,0,0,0,0
11028,265.046376,311.38,0,0,0,1775.64,1970.29,2089.46,0,0,0,0,0,0,0
5259,407.243006,155.99,0,0,0,0,0,0,0,0,0,0,0,0,0
11439,600.470656,451.83,0,0,0,1181.27,1422.42,1494.58,0,0,0,0,0,0,0
3041,423.236386,54.42,0,0,0,0,0,0,0,0,0,0,0,0,0
4762,555.274486,147.79,0,0,0,0,0,0,0,1482.25,1427.48,1446.78,0,0,0
6851,489.234496,176.17,0,0,0,0,0,0,0,0,0,0,0,0,0
6770,388.189426,174.02,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,354.196216,283.38,0,0,0,0,0,0,0,0,0,0,0,0,0
7854,570.246436,190.54,0,0,0,1619.69,1849.74,2376.65,0,0,0,0,0,0,0
7640,677.312856,186.04,0,0,0,0,0,0,0,0,0,0,0,0,0
7687,528.338276,187.13,0,0,0,0,0,0,0,0,0,0,0,0,0
3444,447.229596,60.66,0,0,0,0,0,0,0,0,0,0,0,0,0
6399,393.180696,168.61,0,0,0,0,0,0,0,616.37,703.91,579.86,0,0,0
7503,613.339426,183.7,0,0,0,0,0,0,0,1006.02,1121.65,1165.9,0,0,0
3005,436.174396,52.46,0,0,0,0,0,0,0,967.96,1063.69,1116.51,0,0,0
9923,623.336786,227.06,0,0,0,0,0,0,0,0,0,0,0,0,0
9489,542.393296,217.35,0,0,0,1215.71,0,740.87,0,0,0,0,0,0,0
6172,500.261986,166.66,0,0,0,0,0,0,0,612.17,0,0,0,0,0
643,701.347586,154.08,0,0,0,0,0,0,0,0,0,0,0,0,0
6289,399.206586,166.79,710.26,704.78,727.82,0,0,0,0,2186.98,2114.44,2174.28,650.63,624.48,608.71
8412,609.393736,197.76,0,0,0,0,0,0,0,0,0,0,0,0,0
9132,608.310446,210.64,0,0,0,0,0,0,0,0,0,0,0,0,0
4728,468.282366,147.12,0,0,0,0,0,0,0,0,0,0,0,0,0
4037,520.286086,138.16,0,0,0,0,0,0,0,0,0,0,0,0,0
2260,186.188726,330.35,0,0,0,0,0,0,0,0,0,0,0,0,0
5038,515.354836,151.45,0,0,0,773.03,966.88,718.74,0,0,0,0,0,0,0
4374,299.084806,141.92,1092.03,986.87,1015.55,0,0,0,0,1452.89,1514.76,1324.63,1538.65,1224.15,1281.86
2347,326.388666,401.18,1099.5,1142.56,768.64,0,0,0,0,1245.6,1143.34,1357.64,1152.04,954.51,980.32
5684,544.242516,163.12,0,0,0,0,0,0,0,0,0,0,0,0,0
3225,574.128256,55.87,0,0,0,0,0,0,0,0,0,0,0,0,0
2531,372.182386,43.73,0,0,0,0,0,0,0,0,0,0,0,0,0
4655,217.148766,148.66,0,0,0,0,0,0,0,0,0,0,0,0,0
3940,622.223846,136.28,0,0,0,2304.92,2129.72,1471.1,0,0,0,0,0,0,0
2851,276.144416,49.75,0,0,0,1769.12,2094.41,1597.57,0,0,0,0,0,0,0
10681,471.281806,267.92,1168.27,1085.58,1243.06,0,0,0,0,3846.27,4163.12,4568.57,1067.79,969.23,895.39
9368,504.260516,215.17,0,0,0,0,0,0,0,1239.06,1198.3,1087.46,0,0,0
4662,578.283876,148.87,0,0,0,0,0,0,0,0,0,0,0,0,0
6817,562.321956,176.38,0,0,0,0,0,0,0,0,0,454.5,1035.72,1363.21,1959.06
9717,517.208746,222.74,0,0,0,0,0,0,0,0,0,0,0,0,0
7299,450.979196,181.8,743.7,1057.96,891.7,0,0,0,0,1272.82,1298.9,2245.31,1183.23,1226.63,1011.49
3263,155.144626,55.95,0,0,0,0,0,0,0,0,0,0,0,0,0
5682,391.238846,163.35,0,0,0,0,0,0,0,0,0,0,0,0,0
4761,447.170536,148.67,517.02,0,667.07,0,0,0,0,1371.7,1349.35,1635.94,0,0,0
9272,527.253816,211.51,0,0,0,0,0,0,0,0,0,0,0,0,0
6122,542.320246,166.84,0,0,0,0,0,0,0,0,0,0,0,0,0
